Account_Planning,Calendar_Year,Financial_Entity,Submission,MainPlan_Option,Renewal_Selection,Option_Tag,Common_Key_Figure
0000000080,2031,9000000007,00000000002020,M,,,8
0000000080,2031,9000000008,00000000002020,M,,,36
0000000080,2031,9000000010,00000000002020,M,,,84
0000000080,2031,9000000011,00000000002020,M,,,5
0000000080,2031,9000000012,00000000002020,M,,,2
0000000080,2032,9000000003,00000000002020,M,,,3
0000000080,2032,9000000004,00000000002020,M,,,52
0000000080,2032,9000000005,00000000002020,M,,,6
0000000080,2032,9000000006,00000000002020,M,,,16
0000000080,2032,9000000007,00000000002020,M,,,7
0000000080,2032,9000000008,00000000002020,M,,,26
0000000080,2032,9000000010,00000000002020,M,,,89
0000000080,2032,9000000011,00000000002020,M,,,4
0000000080,2032,9000000012,00000000002020,M,,,1
0000000080,2033,9000000003,00000000002020,M,,,3
0000000080,2033,9000000004,00000000002020,M,,,48
0000000080,2033,9000000005,00000000002020,M,,,6
0000000080,2033,9000000006,00000000002020,M,,,14
0000000080,2033,9000000007,00000000002020,M,,,6
0000000080,2033,9000000008,00000000002020,M,,,26
0000000080,2033,9000000010,00000000002020,M,,,99
0000000080,2033,9000000011,00000000002020,M,,,5
0000000080,2033,9000000012,00000000002020,M,,,1
0000000080,2034,9000000003,00000000002020,M,,,2
0000000080,2034,9000000004,00000000002020,M,,,46
0000000080,2034,9000000005,00000000002020,M,,,6
0000000080,2034,9000000006,00000000002020,M,,,12
0000000080,2034,9000000007,00000000002020,M,,,5
0000000080,2034,9000000008,00000000002020,M,,,25
0000000080,2034,9000000010,00000000002020,M,,,113
0000000080,2034,9000000012,00000000002020,M,,,1
0000000080,2035,9000000003,00000000002020,M,,,1
0000000080,2035,9000000004,00000000002020,M,,,41
0000000080,2035,9000000005,00000000002020,M,,,6
0000000080,2035,9000000006,00000000002020,M,,,12
0000000080,2035,9000000007,00000000002020,M,,,4
0000000080,2035,9000000008,00000000002020,M,,,24
0000000080,2035,9000000010,00000000002020,M,,,101
0000000080,2035,9000000012,00000000002020,M,,,1
0000000080,2036,9000000003,00000000002020,M,,,0
0000000080,2036,9000000004,00000000002020,M,,,39
0000000080,2036,9000000005,00000000002020,M,,,5
0000000080,2036,9000000006,00000000002020,M,,,11
0000000080,2036,9000000007,00000000002020,M,,,3
0000000080,2036,9000000008,00000000002020,M,,,23
0000000080,2036,9000000010,00000000002020,M,,,94
0000000080,2036,9000000012,00000000002020,M,,,0
0000000080,2037,9000000003,00000000002020,M,,,0
0000000080,2037,9000000004,00000000002020,M,,,37
0000000080,2037,9000000005,00000000002020,M,,,9
0000000080,2037,9000000006,00000000002020,M,,,3
0000000080,2037,9000000007,00000000002020,M,,,3
0000000080,2037,9000000008,00000000002020,M,,,21
0000000080,2037,9000000010,00000000002020,M,,,93
0000000080,2037,9000000012,00000000002020,M,,,0
0000000080,2038,9000000003,00000000002020,M,,,0
0000000080,2038,9000000004,00000000002020,M,,,39
0000000080,2038,9000000005,00000000002020,M,,,5
0000000080,2038,9000000007,00000000002020,M,,,3
0000000080,2038,9000000008,00000000002020,M,,,19
0000000080,2038,9000000010,00000000002020,M,,,89
0000000080,2038,9000000012,00000000002020,M,,,0
0000000080,2039,9000000003,00000000002020,M,,,0
0000000080,2039,9000000004,00000000002020,M,,,36
0000000080,2039,9000000005,00000000002020,M,,,4
0000000080,2039,9000000007,00000000002020,M,,,2
0000000080,2039,9000000008,00000000002020,M,,,18
0000000080,2039,9000000010,00000000002020,M,,,99
0000000080,2039,9000000012,00000000002020,M,,,0
0000000080,2040,9000000003,00000000002020,M,,,0
0000000080,2040,9000000004,00000000002020,M,,,33
0000000080,2040,9000000005,00000000002020,M,,,5
0000000080,2040,9000000007,00000000002020,M,,,2
0000000080,2040,9000000010,00000000002020,M,,,93
0000000080,2040,9000000012,00000000002020,M,,,0
0000000090,2026,9000000004,00000000002020,M,,,-1
0000000090,2026,9000000006,00000000002020,M,,,0
0000000090,2026,9000000009,00000000002020,M,,,0
0000000090,2027,9000000006,00000000002020,M,,,0
0000000090,2027,9000000007,00000000002020,M,,,-1
0000000090,2027,9000000009,00000000002020,M,,,0
0000000090,2028,9000000004,00000000002020,M,,,2
0000000090,2028,9000000004,00000000002020,M,,,-5
0000000090,2028,9000000005,00000000002020,M,,,0
0000000090,2028,9000000005,00000000002020,M,,,0
0000000090,2028,9000000006,00000000002020,M,,,0
0000000090,2028,9000000006,00000000002020,M,,,-2
0000000090,2028,9000000007,00000000002020,M,,,-2
0000000090,2028,9000000007,00000000002020,M,,,1
0000000090,2028,9000000009,00000000002020,M,,,-1
0000000090,2028,9000000009,00000000002020,M,,,0
0000000090,2028,9000000010,00000000002020,M,,,0
0000000090,2029,9000000004,00000000002020,M,,,0
0000000090,2029,9000000005,00000000002020,M,,,-1
0000000090,2029,9000000006,00000000002020,M,,,-1
0000000090,2029,9000000007,00000000002020,M,,,-1
0000000100,2026,9000000003,00000000002020,M,,,36
0000000100,2026,9000000004,00000000002020,M,,,1515
0000000100,2026,9000000005,00000000002020,M,,,144
0000000100,2026,9000000006,00000000002020,M,,,787
0000000100,2026,9000000007,00000000002020,M,,,228
0000000100,2026,9000000008,00000000002020,M,,,524
0000000100,2026,9000000009,00000000002020,M,,,15
0000000100,2026,9000000010,00000000002020,M,,,1231
0000000100,2026,9000000011,00000000002020,M,,,267
0000000100,2026,9000000012,00000000002020,M,,,27
0000000100,2027,9000000003,00000000002020,M,,,63
0000000100,2027,9000000004,00000000002020,M,,,1553
0000000100,2027,9000000005,00000000002020,M,,,171
0000000100,2027,9000000006,00000000002020,M,,,811
0000000100,2027,9000000007,00000000002020,M,,,305
0000000100,2027,9000000008,00000000002020,M,,,692
0000000100,2027,9000000009,00000000002020,M,,,15
0000000100,2027,9000000010,00000000002020,M,,,1247
0000000100,2027,9000000011,00000000002020,M,,,369
0000000100,2027,9000000012,00000000002020,M,,,98
0000000100,2028,9000000003,00000000002020,M,,,13
0000000100,2028,9000000003,00000000002020,M,,,34
0000000100,2028,9000000004,00000000002020,M,,,415
0000000100,2028,9000000004,00000000002020,M,,,1001
0000000100,2028,9000000005,00000000002020,M,,,45
0000000100,2028,9000000005,00000000002020,M,,,140
0000000100,2028,9000000006,00000000002020,M,,,191
0000000100,2028,9000000006,00000000002020,M,,,474
0000000100,2028,9000000007,00000000002020,M,,,44
0000000100,2028,9000000007,00000000002020,M,,,307
0000000100,2028,9000000008,00000000002020,M,,,222
0000000100,2028,9000000008,00000000002020,M,,,652
0000000100,2028,9000000009,00000000002020,M,,,7
0000000100,2028,9000000010,00000000002020,M,,,307
0000000100,2028,9000000010,00000000002020,M,,,936
0000000100,2028,9000000011,00000000002020,M,,,93
0000000100,2028,9000000011,00000000002020,M,,,254
0000000100,2028,9000000012,00000000002020,M,,,0
0000000100,2028,9000000012,00000000002020,M,,,72
0000000100,2029,9000000003,00000000002020,M,,,34
0000000100,2029,9000000004,00000000002020,M,,,1417
0000000100,2029,9000000005,00000000002020,M,,,147
0000000100,2029,9000000006,00000000002020,M,,,548
0000000100,2029,9000000007,00000000002020,M,,,275
0000000100,2029,9000000008,00000000002020,M,,,553
0000000100,2029,9000000010,00000000002020,M,,,1295
0000000100,2029,9000000011,00000000002020,M,,,189
0000000100,2029,9000000012,00000000002020,M,,,108
0000000100,2030,9000000003,00000000002020,M,,,53
0000000100,2030,9000000004,00000000002020,M,,,1341
0000000100,2030,9000000005,00000000002020,M,,,154
0000000100,2030,9000000006,00000000002020,M,,,535
0000000100,2030,9000000007,00000000002020,M,,,208
0000000100,2030,9000000008,00000000002020,M,,,731
0000000100,2030,9000000010,00000000002020,M,,,1473
0000000100,2030,9000000011,00000000002020,M,,,139
0000000100,2030,9000000012,00000000002020,M,,,55
0000000100,2031,9000000003,00000000002020,M,,,43
0000000100,2031,9000000004,00000000002020,M,,,1253
0000000100,2031,9000000005,00000000002020,M,,,153
0000000100,2031,9000000006,00000000002020,M,,,473
0000000100,2031,9000000007,00000000002020,M,,,177
0000000100,2031,9000000008,00000000002020,M,,,707
0000000100,2031,9000000010,00000000002020,M,,,1620
0000000100,2031,9000000011,00000000002020,M,,,111
0000000100,2031,9000000012,00000000002020,M,,,48
0000000100,2032,9000000003,00000000002020,M,,,80
0000000100,2032,9000000004,00000000002020,M,,,1229
0000000100,2032,9000000005,00000000002020,M,,,144
0000000100,2032,9000000006,00000000002020,M,,,364
0000000100,2032,9000000007,00000000002020,M,,,178
0000000100,2032,9000000008,00000000002020,M,,,528
0000000100,2032,9000000010,00000000002020,M,,,1762
0000000100,2032,9000000011,00000000002020,M,,,101
0000000100,2032,9000000012,00000000002020,M,,,44
0000000100,2033,9000000003,00000000002020,M,,,79
0000000100,2033,9000000004,00000000002020,M,,,1156
0000000100,2033,9000000005,00000000002020,M,,,146
0000000100,2033,9000000006,00000000002020,M,,,323
0000000100,2033,9000000007,00000000002020,M,,,148
0000000100,2033,9000000008,00000000002020,M,,,553
0000000100,2033,9000000010,00000000002020,M,,,1998
0000000100,2033,9000000011,00000000002020,M,,,122
0000000100,2033,9000000012,00000000002020,M,,,40
0000000100,2034,9000000003,00000000002020,M,,,45
0000000100,2034,9000000004,00000000002020,M,,,1088
0000000100,2034,9000000005,00000000002020,M,,,149
0000000100,2034,9000000006,00000000002020,M,,,282
0000000100,2034,9000000007,00000000002020,M,,,127
0000000100,2034,9000000008,00000000002020,M,,,556
0000000100,2034,9000000010,00000000002020,M,,,2319
0000000100,2034,9000000012,00000000002020,M,,,30
0000000100,2035,9000000003,00000000002020,M,,,28
0000000100,2035,9000000004,00000000002020,M,,,1004
0000000100,2035,9000000005,00000000002020,M,,,149
0000000100,2035,9000000006,00000000002020,M,,,284
0000000100,2035,9000000007,00000000002020,M,,,113
0000000100,2035,9000000008,00000000002020,M,,,549
0000000100,2035,9000000010,00000000002020,M,,,2137
0000000100,2035,9000000012,00000000002020,M,,,26
0000000100,2036,9000000003,00000000002020,M,,,12
0000000100,2036,9000000004,00000000002020,M,,,974
0000000100,2036,9000000005,00000000002020,M,,,144
0000000100,2036,9000000006,00000000002020,M,,,283
0000000100,2036,9000000007,00000000002020,M,,,96
0000000100,2036,9000000008,00000000002020,M,,,530
0000000100,2036,9000000010,00000000002020,M,,,2023
0000000100,2036,9000000012,00000000002020,M,,,23
0000000100,2037,9000000003,00000000002020,M,,,5
0000000100,2037,9000000004,00000000002020,M,,,924
0000000100,2037,9000000005,00000000002020,M,,,246
0000000100,2037,9000000006,00000000002020,M,,,89
0000000100,2037,9000000007,00000000002020,M,,,85
0000000100,2037,9000000008,00000000002020,M,,,498
0000000100,2037,9000000010,00000000002020,M,,,2059
0000000100,2037,9000000012,00000000002020,M,,,16
0000000100,2038,9000000003,00000000002020,M,,,2
0000000100,2038,9000000004,00000000002020,M,,,1013
0000000100,2038,9000000005,00000000002020,M,,,138
0000000100,2038,9000000007,00000000002020,M,,,78
0000000100,2038,9000000008,00000000002020,M,,,462
0000000100,2038,9000000010,00000000002020,M,,,2003
0000000100,2038,9000000012,00000000002020,M,,,14
0000000100,2039,9000000003,00000000002020,M,,,0
0000000100,2039,9000000004,00000000002020,M,,,943
0000000100,2039,9000000005,00000000002020,M,,,129
0000000100,2039,9000000007,00000000002020,M,,,73
0000000100,2039,9000000008,00000000002020,M,,,432
0000000100,2039,9000000010,00000000002020,M,,,2274
0000000100,2039,9000000012,00000000002020,M,,,13
0000000100,2040,9000000003,00000000002020,M,,,0
0000000100,2040,9000000004,00000000002020,M,,,898
0000000100,2040,9000000005,00000000002020,M,,,139
0000000100,2040,9000000007,00000000002020,M,,,68
0000000100,2040,9000000010,00000000002020,M,,,2192
0000000100,2040,9000000012,00000000002020,M,,,11
0000000120,2028,9000000008,00000000002020,M,,,82
0000000190,2026,9000000003,00000000002020,M,,,2
0000000190,2026,9000000007,00000000002020,M,,,2
0000000190,2026,9000000009,00000000002020,M,,,0
0000000190,2026,9000000011,00000000002020,M,,,3
0000000190,2027,9000000003,00000000002020,M,,,2
0000000190,2027,9000000007,00000000002020,M,,,2
0000000190,2027,9000000009,00000000002020,M,,,0
0000000190,2027,9000000011,00000000002020,M,,,2
0000000190,2027,9000000012,00000000002020,M,,,4
0000000190,2028,9000000003,00000000002020,M,,,0
0000000190,2028,9000000003,00000000002020,M,,,2
0000000190,2028,9000000007,00000000002020,M,,,0
0000000190,2028,9000000007,00000000002020,M,,,1
0000000190,2028,9000000009,00000000002020,M,,,0
0000000190,2028,9000000011,00000000002020,M,,,0
0000000190,2028,9000000011,00000000002020,M,,,1
0000000190,2028,9000000012,00000000002020,M,,,1
0000000190,2028,9000000012,00000000002020,M,,,4
0000000190,2029,9000000003,00000000002020,M,,,3
0000000190,2029,9000000007,00000000002020,M,,,2
0000000190,2029,9000000011,00000000002020,M,,,1
0000000190,2029,9000000012,00000000002020,M,,,5
0000000190,2030,9000000003,00000000002020,M,,,3
0000000190,2030,9000000007,00000000002020,M,,,1
0000000190,2030,9000000011,00000000002020,M,,,0
0000000190,2030,9000000012,00000000002020,M,,,3
0000000190,2031,9000000003,00000000002020,M,,,2
0000000190,2031,9000000007,00000000002020,M,,,0
0000000190,2031,9000000011,00000000002020,M,,,0
0000000190,2031,9000000012,00000000002020,M,,,2
0000000190,2032,9000000003,00000000002020,M,,,2
0000000190,2032,9000000007,00000000002020,M,,,0
0000000190,2032,9000000011,00000000002020,M,,,0
0000000190,2032,9000000012,00000000002020,M,,,3
0000000190,2033,9000000003,00000000002020,M,,,2
0000000190,2033,9000000007,00000000002020,M,,,1
0000000190,2033,9000000011,00000000002020,M,,,0
0000000190,2033,9000000012,00000000002020,M,,,3
0000000190,2034,9000000003,00000000002020,M,,,2
0000000190,2034,9000000007,00000000002020,M,,,0
0000000190,2034,9000000012,00000000002020,M,,,1
0000000190,2035,9000000003,00000000002020,M,,,1
0000000190,2035,9000000007,00000000002020,M,,,0
0000000190,2035,9000000012,00000000002020,M,,,0
0000000190,2036,9000000007,00000000002020,M,,,0
0000000190,2036,9000000012,00000000002020,M,,,0
0000000190,2037,9000000007,00000000002020,M,,,0
0000000190,2037,9000000012,00000000002020,M,,,0
0000000190,2038,9000000007,00000000002020,M,,,0
0000000190,2038,9000000012,00000000002020,M,,,0
0000000190,2039,9000000007,00000000002020,M,,,0
0000000190,2039,9000000012,00000000002020,M,,,0
0000000190,2040,9000000007,00000000002020,M,,,0
0000000190,2040,9000000012,00000000002020,M,,,0
0000000200,2026,9000000007,00000000002020,M,,,-1
0000000200,2026,9000000009,00000000002020,M,,,-1
0000000200,2027,9000000007,00000000002020,M,,,-1
0000000200,2027,9000000009,00000000002020,M,,,0
0000000200,2028,9000000007,00000000002020,M,,,-1
0000000200,2028,9000000007,00000000002020,M,,,-1
0000000200,2028,9000000009,00000000002020,M,,,0
0000000200,2028,9000000009,00000000002020,M,,,0
0000000200,2029,9000000007,00000000002020,M,,,0
0000000220,2026,9000000007,00000000002020,M,,,32
0000000220,2026,9000000009,00000000002020,M,,,1
0000000220,2026,9000000011,00000000002020,M,,,31
0000000220,2027,9000000007,00000000002020,M,,,49
0000000220,2027,9000000009,00000000002020,M,,,1
0000000220,2027,9000000011,00000000002020,M,,,38
0000000220,2027,9000000012,00000000002020,M,,,27
0000000220,2028,9000000007,00000000002020,M,,,22
0000000220,2028,9000000009,00000000002020,M,,,0
0000000220,2028,9000000009,00000000002020,M,,,0
0000000220,2028,9000000011,00000000002020,M,,,3
0000000220,2028,9000000011,00000000002020,M,,,24
0000000220,2028,9000000012,00000000002020,M,,,0
0000000220,2028,9000000012,00000000002020,M,,,43
0000000220,2029,9000000007,00000000002020,M,,,37
0000000220,2029,9000000011,00000000002020,M,,,18
0000000220,2029,9000000012,00000000002020,M,,,54
0000000220,2030,9000000007,00000000002020,M,,,15
0000000220,2030,9000000011,00000000002020,M,,,5
0000000220,2030,9000000012,00000000002020,M,,,39
0000000220,2031,9000000007,00000000002020,M,,,12
0000000220,2031,9000000011,00000000002020,M,,,4
0000000220,2031,9000000012,00000000002020,M,,,24
0000000220,2032,9000000007,00000000002020,M,,,13
0000000220,2032,9000000011,00000000002020,M,,,4
0000000220,2032,9000000012,00000000002020,M,,,20
0000000220,2033,9000000007,00000000002020,M,,,14
0000000220,2033,9000000011,00000000002020,M,,,6
0000000220,2033,9000000012,00000000002020,M,,,15
0000000220,2034,9000000007,00000000002020,M,,,11
0000000220,2034,9000000012,00000000002020,M,,,6
0000000220,2035,9000000007,00000000002020,M,,,13
0000000220,2035,9000000012,00000000002020,M,,,4
0000000220,2036,9000000007,00000000002020,M,,,12
0000000220,2036,9000000012,00000000002020,M,,,5
0000000220,2037,9000000007,00000000002020,M,,,10
0000000220,2037,9000000012,00000000002020,M,,,6
0000000220,2038,9000000007,00000000002020,M,,,10
0000000220,2038,9000000012,00000000002020,M,,,5
0000000220,2039,9000000007,00000000002020,M,,,10
0000000220,2039,9000000012,00000000002020,M,,,3
0000000220,2040,9000000007,00000000002020,M,,,9
0000000220,2040,9000000012,00000000002020,M,,,3
0000000310,2026,9000000003,00000000002020,M,,,274
0000000310,2026,9000000005,00000000002020,M,,,165
0000000310,2026,9000000007,00000000002020,M,,,446
0000000310,2026,9000000009,00000000002020,M,,,84
0000000310,2026,9000000011,00000000002020,M,,,20
0000000310,2026,9000000012,00000000002020,M,,,779
0000000310,2027,9000000003,00000000002020,M,,,306
0000000310,2027,9000000005,00000000002020,M,,,156
0000000310,2027,9000000007,00000000002020,M,,,426
0000000310,2027,9000000008,00000000002020,M,,,0
0000000310,2027,9000000009,00000000002020,M,,,59
0000000310,2027,9000000011,00000000002020,M,,,18
0000000310,2027,9000000012,00000000002020,M,,,875
0000000310,2028,9000000003,00000000002020,M,,,72
0000000310,2028,9000000003,00000000002020,M,,,174
0000000310,2028,9000000005,00000000002020,M,,,35
0000000310,2028,9000000005,00000000002020,M,,,103
0000000310,2028,9000000007,00000000002020,M,,,109
0000000310,2028,9000000007,00000000002020,M,,,333
0000000310,2028,9000000008,00000000002020,M,,,0
0000000310,2028,9000000008,00000000002020,M,,,1
0000000310,2028,9000000009,00000000002020,M,,,10
0000000310,2028,9000000009,00000000002020,M,,,16
0000000310,2028,9000000011,00000000002020,M,,,1
0000000310,2028,9000000011,00000000002020,M,,,7
0000000310,2028,9000000012,00000000002020,M,,,167
0000000310,2028,9000000012,00000000002020,M,,,518
0000000310,2029,9000000003,00000000002020,M,,,160
0000000310,2029,9000000005,00000000002020,M,,,142
0000000310,2029,9000000007,00000000002020,M,,,404
0000000310,2029,9000000008,00000000002020,M,,,1
0000000310,2029,9000000009,00000000002020,M,,,4
0000000310,2029,9000000011,00000000002020,M,,,17
0000000310,2029,9000000012,00000000002020,M,,,679
0000000310,2030,9000000003,00000000002020,M,,,198
0000000310,2030,9000000005,00000000002020,M,,,128
0000000310,2030,9000000007,00000000002020,M,,,341
0000000310,2030,9000000011,00000000002020,M,,,13
0000000310,2030,9000000012,00000000002020,M,,,484
0000000310,2031,9000000003,00000000002020,M,,,153
0000000310,2031,9000000005,00000000002020,M,,,131
0000000310,2031,9000000007,00000000002020,M,,,287
0000000310,2031,9000000011,00000000002020,M,,,13
0000000310,2031,9000000012,00000000002020,M,,,514
0000000310,2032,9000000003,00000000002020,M,,,154
0000000310,2032,9000000005,00000000002020,M,,,125
0000000310,2032,9000000007,00000000002020,M,,,268
0000000310,2032,9000000011,00000000002020,M,,,4
0000000310,2032,9000000012,00000000002020,M,,,383
0000000310,2033,9000000003,00000000002020,M,,,134
0000000310,2033,9000000005,00000000002020,M,,,129
0000000310,2033,9000000007,00000000002020,M,,,222
0000000310,2033,9000000011,00000000002020,M,,,5
0000000310,2033,9000000012,00000000002020,M,,,324
0000000310,2034,9000000003,00000000002020,M,,,79
0000000310,2034,9000000005,00000000002020,M,,,140
0000000310,2034,9000000007,00000000002020,M,,,193
0000000310,2034,9000000012,00000000002020,M,,,216
0000000310,2035,9000000003,00000000002020,M,,,52
0000000310,2035,9000000005,00000000002020,M,,,145
0000000310,2035,9000000007,00000000002020,M,,,163
0000000310,2035,9000000012,00000000002020,M,,,209
0000000310,2036,9000000003,00000000002020,M,,,21
0000000310,2036,9000000005,00000000002020,M,,,145
0000000310,2036,9000000007,00000000002020,M,,,129
0000000310,2036,9000000012,00000000002020,M,,,184
0000000310,2037,9000000003,00000000002020,M,,,9
0000000310,2037,9000000005,00000000002020,M,,,303
0000000310,2037,9000000007,00000000002020,M,,,103
0000000310,2037,9000000012,00000000002020,M,,,161
0000000310,2038,9000000003,00000000002020,M,,,6
0000000310,2038,9000000005,00000000002020,M,,,151
0000000310,2038,9000000007,00000000002020,M,,,86
0000000310,2038,9000000012,00000000002020,M,,,129
0000000310,2039,9000000003,00000000002020,M,,,1
0000000310,2039,9000000005,00000000002020,M,,,144
0000000310,2039,9000000007,00000000002020,M,,,74
0000000310,2039,9000000012,00000000002020,M,,,97
0000000310,2040,9000000003,00000000002020,M,,,0
0000000310,2040,9000000005,00000000002020,M,,,184
0000000310,2040,9000000007,00000000002020,M,,,63
0000000310,2040,9000000012,00000000002020,M,,,83
0000000320,2026,9000000007,00000000002020,M,,,-56
0000000320,2026,9000000009,00000000002020,M,,,-1
0000000320,2027,9000000007,00000000002020,M,,,-58
0000000320,2028,9000000007,00000000002020,M,,,-21
0000000320,2028,9000000007,00000000002020,M,,,-17
0000000320,2029,9000000007,00000000002020,M,,,-36
0000000320,2030,9000000007,00000000002020,M,,,-36
0000000320,2031,9000000007,00000000002020,M,,,-31
0000000320,2032,9000000007,00000000002020,M,,,-29
0000000320,2033,9000000007,00000000002020,M,,,-24
0000000320,2034,9000000007,00000000002020,M,,,-21
0000000320,2035,9000000007,00000000002020,M,,,-18
0000000320,2036,9000000007,00000000002020,M,,,-14
0000000320,2037,9000000007,00000000002020,M,,,-11
0000000320,2038,9000000007,00000000002020,M,,,-10
0000000320,2039,9000000007,00000000002020,M,,,-8
0000000320,2040,9000000007,00000000002020,M,,,-7
0000000340,2026,9000000003,00000000002020,M,,,384
0000000340,2026,9000000005,00000000002020,M,,,182
0000000340,2026,9000000007,00000000002020,M,,,900
0000000340,2026,9000000009,00000000002020,M,,,101
0000000340,2026,9000000011,00000000002020,M,,,27
0000000340,2026,9000000012,00000000002020,M,,,281
0000000340,2027,9000000003,00000000002020,M,,,455
0000000340,2027,9000000005,00000000002020,M,,,202
0000000340,2027,9000000007,00000000002020,M,,,906
0000000340,2027,9000000009,00000000002020,M,,,59
0000000340,2027,9000000011,00000000002020,M,,,32
0000000340,2027,9000000012,00000000002020,M,,,588
0000000340,2028,9000000003,00000000002020,M,,,116
0000000340,2028,9000000003,00000000002020,M,,,275
0000000340,2028,9000000005,00000000002020,M,,,59
0000000340,2028,9000000005,00000000002020,M,,,164
0000000340,2028,9000000007,00000000002020,M,,,262
0000000340,2028,9000000007,00000000002020,M,,,912
0000000340,2028,9000000008,00000000002020,M,,,0
0000000340,2028,9000000009,00000000002020,M,,,11
0000000340,2028,9000000009,00000000002020,M,,,19
0000000340,2028,9000000011,00000000002020,M,,,2
0000000340,2028,9000000011,00000000002020,M,,,18
0000000340,2028,9000000012,00000000002020,M,,,0
0000000340,2028,9000000012,00000000002020,M,,,512
0000000340,2029,9000000003,00000000002020,M,,,260
0000000340,2029,9000000005,00000000002020,M,,,196
0000000340,2029,9000000007,00000000002020,M,,,945
0000000340,2029,9000000009,00000000002020,M,,,5
0000000340,2029,9000000011,00000000002020,M,,,37
0000000340,2029,9000000012,00000000002020,M,,,762
0000000340,2030,9000000003,00000000002020,M,,,325
0000000340,2030,9000000005,00000000002020,M,,,173
0000000340,2030,9000000007,00000000002020,M,,,803
0000000340,2030,9000000011,00000000002020,M,,,31
0000000340,2030,9000000012,00000000002020,M,,,546
0000000340,2031,9000000003,00000000002020,M,,,249
0000000340,2031,9000000005,00000000002020,M,,,172
0000000340,2031,9000000007,00000000002020,M,,,676
0000000340,2031,9000000011,00000000002020,M,,,32
0000000340,2031,9000000012,00000000002020,M,,,613
0000000340,2032,9000000003,00000000002020,M,,,274
0000000340,2032,9000000005,00000000002020,M,,,172
0000000340,2032,9000000007,00000000002020,M,,,624
0000000340,2032,9000000011,00000000002020,M,,,11
0000000340,2032,9000000012,00000000002020,M,,,469
0000000340,2033,9000000003,00000000002020,M,,,248
0000000340,2033,9000000005,00000000002020,M,,,176
0000000340,2033,9000000007,00000000002020,M,,,508
0000000340,2033,9000000011,00000000002020,M,,,13
0000000340,2033,9000000012,00000000002020,M,,,411
0000000340,2034,9000000003,00000000002020,M,,,146
