[Country],[Country Key],[Year],[ETR],[CTR]
Desert Province,90007,2037,0.451119829,0.451774017
Desert Province,90007,2038,0.435693721,0.436305993
Desert Province,90007,2039,0.418086461,0.419380859
Desert Province,90007,2040,0.433709363,0.435343082
Northern Shelf West,90008,2026,0.464234484,0.4179843
Northern Shelf West,90008,2027,0.415107559,0.456106112
Northern Shelf West,90008,2028,0.460745465,0.449036784
Northern Shelf West,90008,2029,0.463426612,0.466692365
Northern Shelf West,90008,2030,0.450239274,0.452772398
Northern Shelf West,90008,2031,0.445435278,0.473678364
Northern Shelf West,90008,2032,0.431623356,0.449148082
Northern Shelf West,90008,2033,0.424878829,0.416200905
Northern Shelf West,90008,2034,0.424810699,0.408826446
Northern Shelf West,90008,2035,0.430684882,0.431224505
Northern Shelf West,90008,2036,0.450469029,0.44980739
Northern Shelf West,90008,2037,0.451119829,0.451774017
Northern Shelf West,90008,2038,0.435693721,0.436305993
Northern Shelf West,90008,2039,0.418086461,0.419380859
Northern Shelf West,90008,2040,0.433709363,0.435343082
Island Region,90009,2026,0.464234484,0.4179843
Island Region,90009,2027,0.415107559,0.456106112
Island Region,90009,2028,0.460745465,0.449036784
Island Region,90009,2029,0.463426612,0.466692365
Island Region,90009,2030,0.450239274,0.452772398
Island Region,90009,2031,0.445435278,0.473678364
Island Region,90009,2032,0.431623356,0.449148082
Island Region,90009,2033,0.424878829,0.416200905
Island Region,90009,2034,0.424810699,0.408826446
Island Region,90009,2035,0.430684882,0.431224505
Island Region,90009,2036,0.450469029,0.44980739
Island Region,90009,2037,0.451119829,0.451774017
Island Region,90009,2038,0.435693721,0.436305993
Island Region,90009,2039,0.418086461,0.419380859
Island Region,90009,2040,0.433709363,0.435343082
Southern Republic,90010,2026,0.464234484,0.4179843
Southern Republic,90010,2027,0.415107559,0.456106112
Southern Republic,90010,2028,0.460745465,0.449036784
Southern Republic,90010,2029,0.463426612,0.466692365
Southern Republic,90010,2030,0.450239274,0.452772398
Southern Republic,90010,2031,0.445435278,0.473678364
Southern Republic,90010,2032,0.431623356,0.449148082
Southern Republic,90010,2033,0.424878829,0.416200905
Southern Republic,90010,2034,0.424810699,0.408826446
Southern Republic,90010,2035,0.430684882,0.431224505
Southern Republic,90010,2036,0.450469029,0.44980739
Southern Republic,90010,2037,0.451119829,0.451774017
Southern Republic,90010,2038,0.435693721,0.436305993
Southern Republic,90010,2039,0.418086461,0.419380859
Southern Republic,90010,2040,0.433709363,0.435343082
