[Year],[Metric],[Metric Sort],[Case],[Value]
2026,Total Cash Costs,2002,Project Ironwood |Main Plan,-53
2026,Total Cash Costs,2002,Project Northstar |Main Plan,-372
2026,Total Cash Costs,2002,Project Raven Rock |Main Plan,-73
2026,Total Cash Costs,2002,Project Redcliff |Main Plan,-204
2026,Total Cash Costs,2002,Project Silver Peak |Main Plan,-355
2026,Total Cash Costs,2002,Project Stonehaven |Main Plan,-149
2026,Production Costs,2003,Project Blue Horizon |Main Plan,-308
2026,Production Costs,2003,Project Cedar Point |Manual,-180
2026,Production Costs,2003,Project Copper Bay |Main Plan,-207
2026,Production Costs,2003,Project Eagle Pass |Manual,-180
2026,Production Costs,2003,Project Granite Basin |Main Plan,-147
2026,Production Costs,2003,Project Highland Crest |Main Plan,-79
2026,Production Costs,2003,Project Ironwood |Main Plan,-53
2026,Production Costs,2003,Project Northstar |Main Plan,-372
2026,Production Costs,2003,Project Raven Rock |Main Plan,-73
2026,Production Costs,2003,Project Redcliff |Main Plan,-204
2026,Production Costs,2003,Project Silver Peak |Main Plan,-355
2026,Production Costs,2003,Project Stonehaven |Main Plan,-149
2026,EBITDA,2004,Project Blue Horizon |Main Plan,942
2026,EBITDA,2004,Project Cedar Point |Manual,1070
2026,EBITDA,2004,Project Copper Bay |Main Plan,574
2026,EBITDA,2004,Project Eagle Pass |Manual,1070
2026,EBITDA,2004,Project Granite Basin |Main Plan,179
2026,EBITDA,2004,Project Highland Crest |Main Plan,600
2026,EBITDA,2004,Project Ironwood |Main Plan,324
2026,EBITDA,2004,Project Northstar |Main Plan,144
2026,EBITDA,2004,Project Raven Rock |Main Plan,152
2026,EBITDA,2004,Project Redcliff |Main Plan,811
2026,EBITDA,2004,Project Silver Peak |Main Plan,1161
2026,EBITDA,2004,Project Stonehaven |Main Plan,203
2026,DD&A Charge,2005,Project Blue Horizon |Main Plan,-753
2026,DD&A Charge,2005,Project Cedar Point |Manual,-610
2026,DD&A Charge,2005,Project Copper Bay |Main Plan,-440
2026,DD&A Charge,2005,Project Eagle Pass |Manual,-610
2026,DD&A Charge,2005,Project Granite Basin |Main Plan,-55
2026,DD&A Charge,2005,Project Highland Crest |Main Plan,-290
2026,DD&A Charge,2005,Project Ironwood |Main Plan,-334
2026,DD&A Charge,2005,Project Northstar |Main Plan,-241
2026,DD&A Charge,2005,Project Raven Rock |Main Plan,-144
2026,DD&A Charge,2005,Project Redcliff |Main Plan,-325
2026,DD&A Charge,2005,Project Silver Peak |Main Plan,-1041
2026,DD&A Charge,2005,Project Stonehaven |Main Plan,-184
2026,Related Company Income,2006,Project Cedar Point |Manual,0
2026,Related Company Income,2006,Project Eagle Pass |Manual,0
2026,Related Company Income,2006,Project Ironwood |Main Plan,10
2026,Underlying RCOP,2007,Project Blue Horizon |Main Plan,189
2026,Underlying RCOP,2007,Project Cedar Point |Manual,390
2026,Underlying RCOP,2007,Project Copper Bay |Main Plan,134
2026,Underlying RCOP,2007,Project Eagle Pass |Manual,390
2026,Underlying RCOP,2007,Project Granite Basin |Main Plan,124
2026,Underlying RCOP,2007,Project Highland Crest |Main Plan,310
2026,Underlying RCOP,2007,Project Ironwood |Main Plan,-10
2026,Underlying RCOP,2007,Project Northstar |Main Plan,-97
2026,Underlying RCOP,2007,Project Raven Rock |Main Plan,8
2026,Underlying RCOP,2007,Project Redcliff |Main Plan,486
2026,Underlying RCOP,2007,Project Silver Peak |Main Plan,120
2026,Underlying RCOP,2007,Project Stonehaven |Main Plan,19
2026,Working Capital Changes (SEA),3001,Project Cedar Point |Manual,130
2026,Working Capital Changes (SEA),3001,Project Copper Bay |Main Plan,-13
2026,Working Capital Changes (SEA),3001,Project Eagle Pass |Manual,130
2026,Working Capital Changes (SEA),3001,Project Redcliff |Main Plan,-3
2026,Working Capital Changes (SEA),3001,Project Stonehaven |Main Plan,-51
2026,Decommissioning Payments,3002,Project Cedar Point |Manual,-10
2026,Decommissioning Payments,3002,Project Copper Bay |Main Plan,-13
2026,Decommissioning Payments,3002,Project Eagle Pass |Manual,-10
2026,Decommissioning Payments,3002,Project Redcliff |Main Plan,-3
2026,Decommissioning Payments,3002,Project Stonehaven |Main Plan,-51
2026,Lease Interest paid,3003,Project Cedar Point |Manual,0
2026,Lease Interest paid,3003,Project Eagle Pass |Manual,0
2026,Total Dividend Received,3004,Project Cedar Point |Manual,0
2026,Total Dividend Received,3004,Project Eagle Pass |Manual,0
2026,Total Dividend Received,3004,Project Ironwood |Main Plan,14
2026,Operating Cashflow,3005,Project Blue Horizon |Main Plan,941
2026,Operating Cashflow,3005,Project Cedar Point |Manual,1190
2026,Operating Cashflow,3005,Project Copper Bay |Main Plan,560
2026,Operating Cashflow,3005,Project Eagle Pass |Manual,1190
2026,Operating Cashflow,3005,Project Granite Basin |Main Plan,178
2026,Operating Cashflow,3005,Project Highland Crest |Main Plan,599
2026,Operating Cashflow,3005,Project Ironwood |Main Plan,326
2026,Operating Cashflow,3005,Project Northstar |Main Plan,143
2026,Operating Cashflow,3005,Project Raven Rock |Main Plan,151
2026,Operating Cashflow,3005,Project Redcliff |Main Plan,807
2026,Operating Cashflow,3005,Project Silver Peak |Main Plan,1160
2026,Operating Cashflow,3005,Project Stonehaven |Main Plan,151
2026,Cash Capex,3006,Project Blue Horizon |Main Plan,-589
2026,Cash Capex,3006,Project Cedar Point |Manual,-480
2026,Cash Capex,3006,Project Copper Bay |Main Plan,-42
2026,Cash Capex,3006,Project Eagle Pass |Manual,-480
2026,Cash Capex,3006,Project Granite Basin |Main Plan,-55
2026,Cash Capex,3006,Project Highland Crest |Main Plan,-46
2026,Cash Capex,3006,Project Ironwood |Main Plan,-154
2026,Cash Capex,3006,Project Northstar |Main Plan,-158
2026,Cash Capex,3006,Project Raven Rock |Main Plan,-168
2026,Cash Capex,3006,Project Redcliff |Main Plan,-129
2026,Cash Capex,3006,Project Silver Peak |Main Plan,-512
2026,Cash Capex,3006,Project Stonehaven |Main Plan,-16
2026,Cash Flow from Sale of Operations,3007,Project Cedar Point |Manual,0
2026,Cash Flow from Sale of Operations,3007,Project Eagle Pass |Manual,0
2026,Pre Tax Cash Flow,3008,Project Blue Horizon |Main Plan,352
2026,Pre Tax Cash Flow,3008,Project Cedar Point |Manual,600
2026,Pre Tax Cash Flow,3008,Project Copper Bay |Main Plan,518
2026,Pre Tax Cash Flow,3008,Project Eagle Pass |Manual,600
2026,Pre Tax Cash Flow,3008,Project Granite Basin |Main Plan,123
2026,Pre Tax Cash Flow,3008,Project Highland Crest |Main Plan,553
2026,Pre Tax Cash Flow,3008,Project Ironwood |Main Plan,172
2026,Pre Tax Cash Flow,3008,Project Northstar |Main Plan,-15
2026,Pre Tax Cash Flow,3008,Project Raven Rock |Main Plan,-17
2026,Pre Tax Cash Flow,3008,Project Redcliff |Main Plan,678
2026,Pre Tax Cash Flow,3008,Project Silver Peak |Main Plan,648
2026,Pre Tax Cash Flow,3008,Project Stonehaven |Main Plan,135
2026,Capital Employed,4001,Project Blue Horizon |Main Plan,223
2026,Capital Employed,4001,Project Cedar Point |Manual,3020
2026,Capital Employed,4001,Project Copper Bay |Main Plan,1643
2026,Capital Employed,4001,Project Eagle Pass |Manual,3020
2026,Capital Employed,4001,Project Granite Basin |Main Plan,700
2026,Capital Employed,4001,Project Highland Crest |Main Plan,835
2026,Capital Employed,4001,Project Ironwood |Main Plan,1032
2026,Capital Employed,4001,Project Northstar |Main Plan,962
2026,Capital Employed,4001,Project Redcliff |Main Plan,1764
2026,Capital Employed,4001,Project Silver Peak |Main Plan,3820
2026,Capital Employed,4001,Project Stonehaven |Main Plan,772
2027,Total Production (mboed),1001,Project Blue Horizon |Main Plan,73
2027,Total Production (mboed),1001,Project Cedar Point |Manual,40
2027,Total Production (mboed),1001,Project Copper Bay |Main Plan,40
2027,Total Production (mboed),1001,Project Eagle Pass |Manual,40
2027,Total Production (mboed),1001,Project Granite Basin |Main Plan,35
2027,Total Production (mboed),1001,Project Highland Crest |Main Plan,11
2027,Total Production (mboed),1001,Project Ironwood |Main Plan,57
2027,Total Production (mboed),1001,Project Northstar |Main Plan,37
2027,Total Production (mboed),1001,Project Raven Rock |Main Plan,161
2027,Total Production (mboed),1001,Project Redcliff |Main Plan,91
2027,Total Production (mboed),1001,Project Silver Peak |Main Plan,77
2027,Total Production (mboed),1001,Project Stonehaven |Main Plan,25
2027,Oil Production (mb/d),1002,Project Blue Horizon |Main Plan,73
2027,Oil Production (mb/d),1002,Project Cedar Point |Manual,40
2027,Oil Production (mb/d),1002,Project Copper Bay |Main Plan,40
2027,Oil Production (mb/d),1002,Project Eagle Pass |Manual,40
2027,Oil Production (mb/d),1002,Project Granite Basin |Main Plan,8
2027,Oil Production (mb/d),1002,Project Highland Crest |Main Plan,0
2027,Oil Production (mb/d),1002,Project Ironwood |Main Plan,2
2027,Oil Production (mb/d),1002,Project Northstar |Main Plan,37
2027,Oil Production (mb/d),1002,Project Raven Rock |Main Plan,6
2027,Oil Production (mb/d),1002,Project Redcliff |Main Plan,15
2027,Oil Production (mb/d),1002,Project Silver Peak |Main Plan,77
2027,Oil Production (mb/d),1002,Project Stonehaven |Main Plan,18
2027,NGL Production (mb/d),1003,Project Cedar Point |Manual,0
2027,NGL Production (mb/d),1003,Project Eagle Pass |Manual,0
2027,NGL Production (mb/d),1003,Project Highland Crest |Main Plan,0
2027,NGL Production (mb/d),1003,Project Ironwood |Main Plan,2
2027,NGL Production (mb/d),1003,Project Raven Rock |Main Plan,4
2027,NGL Production (mb/d),1003,Project Redcliff |Main Plan,2
2027,NGL Production (mb/d),1003,Project Stonehaven |Main Plan,2
2027,Gas Production (mmscf/d),1004,Project Cedar Point |Manual,10
2027,Gas Production (mmscf/d),1004,Project Eagle Pass |Manual,10
2027,Gas Production (mmscf/d),1004,Project Granite Basin |Main Plan,156
2027,Gas Production (mmscf/d),1004,Project Highland Crest |Main Plan,59
2027,Gas Production (mmscf/d),1004,Project Ironwood |Main Plan,306
2027,Gas Production (mmscf/d),1004,Project Northstar |Main Plan,0
2027,Gas Production (mmscf/d),1004,Project Raven Rock |Main Plan,875
2027,Gas Production (mmscf/d),1004,Project Redcliff |Main Plan,426
2027,Gas Production (mmscf/d),1004,Project Stonehaven |Main Plan,18
2027,Revenue Generating Total Prod (mboed),1005,Project Blue Horizon |Main Plan,73
2027,Revenue Generating Total Prod (mboed),1005,Project Cedar Point |Manual,40
2027,Revenue Generating Total Prod (mboed),1005,Project Copper Bay |Main Plan,41
2027,Revenue Generating Total Prod (mboed),1005,Project Eagle Pass |Manual,40
2027,Revenue Generating Total Prod (mboed),1005,Project Granite Basin |Main Plan,35
2027,Revenue Generating Total Prod (mboed),1005,Project Highland Crest |Main Plan,11
2027,Revenue Generating Total Prod (mboed),1005,Project Ironwood |Main Plan,57
2027,Revenue Generating Total Prod (mboed),1005,Project Northstar |Main Plan,37
2027,Revenue Generating Total Prod (mboed),1005,Project Raven Rock |Main Plan,161
2027,Revenue Generating Total Prod (mboed),1005,Project Redcliff |Main Plan,81
2027,Revenue Generating Total Prod (mboed),1005,Project Silver Peak |Main Plan,77
2027,Revenue Generating Total Prod (mboed),1005,Project Stonehaven |Main Plan,25
2027,Oil - Non-Revenue Generating Prod (mbd),1006,Project Copper Bay |Main Plan,0
2027,Oil - Non-Revenue Generating Prod (mbd),1006,Project Highland Crest |Main Plan,0
2027,Oil - Non-Revenue Generating Prod (mbd),1006,Project Redcliff |Main Plan,-1
2027,NGL - Non-Revenue Generating Prod (mbd),1007,Project Highland Crest |Main Plan,0
2027,NGL - Non-Revenue Generating Prod (mbd),1007,Project Redcliff |Main Plan,-1
2027,Gas - Non-Revenue Generating Prod (mmscfd),1008,Project Redcliff |Main Plan,-58
2027,Equity Accounted Total Production (mboed),1009,Project Cedar Point |Manual,0
2027,Equity Accounted Total Production (mboed),1009,Project Eagle Pass |Manual,0
2027,Liquids Production (mboed),1013,Project Blue Horizon |Main Plan,73
2027,Liquids Production (mboed),1013,Project Cedar Point |Manual,40
2027,Liquids Production (mboed),1013,Project Copper Bay |Main Plan,40
2027,Liquids Production (mboed),1013,Project Eagle Pass |Manual,40
2027,Liquids Production (mboed),1013,Project Granite Basin |Main Plan,8
2027,Liquids Production (mboed),1013,Project Highland Crest |Main Plan,0
2027,Liquids Production (mboed),1013,Project Ironwood |Main Plan,4
2027,Liquids Production (mboed),1013,Project Northstar |Main Plan,37
2027,Liquids Production (mboed),1013,Project Raven Rock |Main Plan,10
2027,Liquids Production (mboed),1013,Project Redcliff |Main Plan,17
2027,Liquids Production (mboed),1013,Project Silver Peak |Main Plan,77
2027,Liquids Production (mboed),1013,Project Stonehaven |Main Plan,20
2027,Revenue Generating Total Prod (mboe),1015,Project Blue Horizon |Main Plan,26.645
2027,Revenue Generating Total Prod (mboe),1015,Project Copper Bay |Main Plan,14.965
2027,Revenue Generating Total Prod (mboe),1015,Project Granite Basin |Main Plan,12.775
2027,Revenue Generating Total Prod (mboe),1015,Project Highland Crest |Main Plan,4.015
2027,Revenue Generating Total Prod (mboe),1015,Project Ironwood |Main Plan,20.805
2027,Revenue Generating Total Prod (mboe),1015,Project Northstar |Main Plan,13.505
2027,Revenue Generating Total Prod (mboe),1015,Project Raven Rock |Main Plan,58.765
2027,Revenue Generating Total Prod (mboe),1015,Project Redcliff |Main Plan,29.565
2027,Revenue Generating Total Prod (mboe),1015,Project Silver Peak |Main Plan,28.105
2027,Revenue Generating Total Prod (mboe),1015,Project Stonehaven |Main Plan,9.125
2027,Gross Margin,2001,Project Blue Horizon |Main Plan,1262
2027,Gross Margin,2001,Project Cedar Point |Manual,1180
2027,Gross Margin,2001,Project Copper Bay |Main Plan,805
2027,Gross Margin,2001,Project Eagle Pass |Manual,1180
2027,Gross Margin,2001,Project Granite Basin |Main Plan,373
2027,Gross Margin,2001,Project Highland Crest |Main Plan,68
2027,Gross Margin,2001,Project Ironwood |Main Plan,488
2027,Gross Margin,2001,Project Northstar |Main Plan,680
2027,Gross Margin,2001,Project Raven Rock |Main Plan,588
2027,Gross Margin,2001,Project Redcliff |Main Plan,1098
2027,Gross Margin,2001,Project Silver Peak |Main Plan,1554
2027,Gross Margin,2001,Project Stonehaven |Main Plan,480
2027,Total Cash Costs,2002,Project Blue Horizon |Main Plan,-348
2027,Total Cash Costs,2002,Project Cedar Point |Manual,-270
2027,Total Cash Costs,2002,Project Copper Bay |Main Plan,-164
2027,Total Cash Costs,2002,Project Eagle Pass |Manual,-270
2027,Total Cash Costs,2002,Project Granite Basin |Main Plan,-174
2027,Total Cash Costs,2002,Project Highland Crest |Main Plan,-70
2027,Total Cash Costs,2002,Project Ironwood |Main Plan,-40
2027,Total Cash Costs,2002,Project Northstar |Main Plan,-265
2027,Total Cash Costs,2002,Project Raven Rock |Main Plan,-42
2027,Total Cash Costs,2002,Project Redcliff |Main Plan,-194
2027,Total Cash Costs,2002,Project Silver Peak |Main Plan,-300
2027,Total Cash Costs,2002,Project Stonehaven |Main Plan,-149
2027,Production Costs,2003,Project Blue Horizon |Main Plan,-348
2027,Production Costs,2003,Project Cedar Point |Manual,-190
2027,Production Costs,2003,Project Copper Bay |Main Plan,-164
2027,Production Costs,2003,Project Eagle Pass |Manual,-190
2027,Production Costs,2003,Project Granite Basin |Main Plan,-174
2027,Production Costs,2003,Project Highland Crest |Main Plan,-70
2027,Production Costs,2003,Project Ironwood |Main Plan,-40
2027,Production Costs,2003,Project Northstar |Main Plan,-265
2027,Production Costs,2003,Project Raven Rock |Main Plan,-42
2027,Production Costs,2003,Project Redcliff |Main Plan,-194
2027,Production Costs,2003,Project Silver Peak |Main Plan,-300
2027,Production Costs,2003,Project Stonehaven |Main Plan,-149
2027,EBITDA,2004,Project Blue Horizon |Main Plan,914
2027,EBITDA,2004,Project Cedar Point |Manual,910
2027,EBITDA,2004,Project Copper Bay |Main Plan,641
2027,EBITDA,2004,Project Eagle Pass |Manual,910
2027,EBITDA,2004,Project Granite Basin |Main Plan,199
2027,EBITDA,2004,Project Highland Crest |Main Plan,-2
2027,EBITDA,2004,Project Ironwood |Main Plan,465
2027,EBITDA,2004,Project Northstar |Main Plan,412
2027,EBITDA,2004,Project Raven Rock |Main Plan,546
2027,EBITDA,2004,Project Redcliff |Main Plan,895
2027,EBITDA,2004,Project Silver Peak |Main Plan,1254
2027,EBITDA,2004,Project Stonehaven |Main Plan,331
2027,DD&A Charge,2005,Project Blue Horizon |Main Plan,-552
2027,DD&A Charge,2005,Project Cedar Point |Manual,-690
2027,DD&A Charge,2005,Project Copper Bay |Main Plan,-447
2027,DD&A Charge,2005,Project Eagle Pass |Manual,-690
2027,DD&A Charge,2005,Project Granite Basin |Main Plan,-52
2027,DD&A Charge,2005,Project Highland Crest |Main Plan,-322
2027,DD&A Charge,2005,Project Ironwood |Main Plan,-361
2027,DD&A Charge,2005,Project Northstar |Main Plan,-239
2027,DD&A Charge,2005,Project Raven Rock |Main Plan,-88
2027,DD&A Charge,2005,Project Redcliff |Main Plan,-423
2027,DD&A Charge,2005,Project Silver Peak |Main Plan,-855
2027,DD&A Charge,2005,Project Stonehaven |Main Plan,-340
2027,Related Company Income,2006,Project Cedar Point |Manual,0
2027,Related Company Income,2006,Project Eagle Pass |Manual,0
2027,Related Company Income,2006,Project Ironwood |Main Plan,17
2027,Underlying RCOP,2007,Project Blue Horizon |Main Plan,362
2027,Underlying RCOP,2007,Project Cedar Point |Manual,230
2027,Underlying RCOP,2007,Project Copper Bay |Main Plan,194
2027,Underlying RCOP,2007,Project Eagle Pass |Manual,230
2027,Underlying RCOP,2007,Project Granite Basin |Main Plan,147
2027,Underlying RCOP,2007,Project Highland Crest |Main Plan,-324
2027,Underlying RCOP,2007,Project Ironwood |Main Plan,104
2027,Underlying RCOP,2007,Project Northstar |Main Plan,173
2027,Underlying RCOP,2007,Project Raven Rock |Main Plan,458
2027,Underlying RCOP,2007,Project Redcliff |Main Plan,472
2027,Underlying RCOP,2007,Project Silver Peak |Main Plan,399
2027,Underlying RCOP,2007,Project Stonehaven |Main Plan,-9
2027,Working Capital Changes (SEA),3001,Project Cedar Point |Manual,-30
2027,Working Capital Changes (SEA),3001,Project Copper Bay |Main Plan,2
2027,Working Capital Changes (SEA),3001,Project Eagle Pass |Manual,-30
2027,Working Capital Changes (SEA),3001,Project Raven Rock |Main Plan,-1
2027,Working Capital Changes (SEA),3001,Project Redcliff |Main Plan,-1
2027,Working Capital Changes (SEA),3001,Project Stonehaven |Main Plan,-1
2027,Decommissioning Payments,3002,Project Cedar Point |Manual,0
2027,Decommissioning Payments,3002,Project Copper Bay |Main Plan,2
2027,Decommissioning Payments,3002,Project Eagle Pass |Manual,0
2027,Decommissioning Payments,3002,Project Raven Rock |Main Plan,-1
2027,Decommissioning Payments,3002,Project Redcliff |Main Plan,-1
2027,Decommissioning Payments,3002,Project Stonehaven |Main Plan,-1
2027,Lease Interest paid,3003,Project Cedar Point |Manual,0
2027,Lease Interest paid,3003,Project Eagle Pass |Manual,0
2027,Total Dividend Received,3004,Project Cedar Point |Manual,0
2027,Total Dividend Received,3004,Project Eagle Pass |Manual,0
2027,Total Dividend Received,3004,Project Ironwood |Main Plan,13
2027,Operating Cashflow,3005,Project Blue Horizon |Main Plan,913
2027,Operating Cashflow,3005,Project Cedar Point |Manual,900
2027,Operating Cashflow,3005,Project Copper Bay |Main Plan,642
2027,Operating Cashflow,3005,Project Eagle Pass |Manual,900
2027,Operating Cashflow,3005,Project Granite Basin |Main Plan,198
2027,Operating Cashflow,3005,Project Highland Crest |Main Plan,-3
2027,Operating Cashflow,3005,Project Ironwood |Main Plan,459
2027,Operating Cashflow,3005,Project Northstar |Main Plan,411
2027,Operating Cashflow,3005,Project Raven Rock |Main Plan,544
2027,Operating Cashflow,3005,Project Redcliff |Main Plan,893
2027,Operating Cashflow,3005,Project Silver Peak |Main Plan,1253
2027,Operating Cashflow,3005,Project Stonehaven |Main Plan,329
2027,Cash Capex,3006,Project Blue Horizon |Main Plan,-583
2027,Cash Capex,3006,Project Cedar Point |Manual,-480
2027,Cash Capex,3006,Project Copper Bay |Main Plan,-2
2027,Cash Capex,3006,Project Eagle Pass |Manual,-480
2027,Cash Capex,3006,Project Granite Basin |Main Plan,-51
2027,Cash Capex,3006,Project Highland Crest |Main Plan,-12
2027,Cash Capex,3006,Project Ironwood |Main Plan,-46
2027,Cash Capex,3006,Project Northstar |Main Plan,-83
2027,Cash Capex,3006,Project Raven Rock |Main Plan,-324
2027,Cash Capex,3006,Project Redcliff |Main Plan,-74
2027,Cash Capex,3006,Project Silver Peak |Main Plan,-1835
2027,Cash Capex,3006,Project Stonehaven |Main Plan,-92
2027,Cash Flow from Sale of Operations,3007,Project Cedar Point |Manual,0
