[Metric],[Case],[Total 5Y],[Average 5Y],[2026],[2027],[2028],[2029],[2030]
Capital Employed,Project Blue Horizon |Main Plan,907,181.4,223,,361,211,112
Gross Margin,Project Blue Horizon |Main Plan,6560,1312,1250,1262,1260,1315,1473
Gross Margin,Project Cedar Point |Manual,6130,1226,1340,1180,1240,1200,1170
Gross Margin,Project Copper Bay |Main Plan,3321,664.2,781,805,660,544,531
Gross Margin,Project Eagle Pass |Manual,6130,1226,1340,1180,1240,1200,1170
Gross Margin,Project Granite Basin |Main Plan,1777,355.4,326,373,408,343,327
Gross Margin,Project Highland Crest |Main Plan,211,42.2,108,68,31,4,0
Gross Margin,Project Ironwood |Main Plan,1964,392.8,367,488,437,294,378
Gross Margin,Project Northstar |Main Plan,3353,670.6,516,680,873,553,731
Gross Margin,Project Raven Rock |Main Plan,2520,504,225,588,466,707,534
Gross Margin,Project Redcliff |Main Plan,5431,1086.2,1016,1098,1328,1096,893
Gross Margin,Project Silver Peak |Main Plan,7246,1449.2,1516,1554,1418,1417,1341
Gross Margin,Project Stonehaven |Main Plan,1768,353.6,352,480,441,282,213
Lease Interest paid,Project Cedar Point |Manual,0,0,0,0,0,0,0
Lease Interest paid,Project Eagle Pass |Manual,0,0,0,0,0,0,0
Liquids Production (mboed),Project Blue Horizon |Main Plan,369,73.8,91,73,57,70,78
Liquids Production (mboed),Project Cedar Point |Manual,190,38,30,40,40,40,40
Liquids Production (mboed),Project Copper Bay |Main Plan,169,33.8,50,40,28,26,25
Liquids Production (mboed),Project Eagle Pass |Manual,190,38,30,40,40,40,40
Liquids Production (mboed),Project Granite Basin |Main Plan,34,6.8,8,8,6,6,6
Liquids Production (mboed),Project Highland Crest |Main Plan,0,0,0,0,0,,
Liquids Production (mboed),Project Ironwood |Main Plan,20,4,4,4,3,4,5
Liquids Production (mboed),Project Northstar |Main Plan,177,35.4,36,37,37,29,38
Liquids Production (mboed),Project Raven Rock |Main Plan,36,7.2,3,10,8,10,5
Liquids Production (mboed),Project Redcliff |Main Plan,73,14.6,16,17,15,15,10
Liquids Production (mboed),Project Silver Peak |Main Plan,352,70.4,94,77,58,64,59
Liquids Production (mboed),Project Stonehaven |Main Plan,69,13.8,19,20,14,10,6
NGL - Non-Revenue Generating Prod (mbd),Project Highland Crest |Main Plan,-1,-0.2,-1,0,0,,
NGL - Non-Revenue Generating Prod (mbd),Project Redcliff |Main Plan,-4,-0.8,-1,-1,-2,0,
NGL Production (mb/d),Project Cedar Point |Manual,0,0,0,0,0,0,0
NGL Production (mb/d),Project Eagle Pass |Manual,0,0,0,0,0,0,0
NGL Production (mb/d),Project Highland Crest |Main Plan,0,0,0,0,0,,
NGL Production (mb/d),Project Ironwood |Main Plan,12,2.4,2,2,2,3,3
NGL Production (mb/d),Project Raven Rock |Main Plan,17,3.4,,4,5,5,3
NGL Production (mb/d),Project Redcliff |Main Plan,8,1.6,2,2,1,2,1
NGL Production (mb/d),Project Stonehaven |Main Plan,7,1.4,3,2,1,1,0
Oil - Non-Revenue Generating Prod (mbd),Project Blue Horizon |Main Plan,0,0,,,0,,
Oil - Non-Revenue Generating Prod (mbd),Project Copper Bay |Main Plan,-3,-0.6,0,0,-2,-1,
Oil - Non-Revenue Generating Prod (mbd),Project Granite Basin |Main Plan,-1,-0.2,,,0,-1,
Oil - Non-Revenue Generating Prod (mbd),Project Highland Crest |Main Plan,-1,-0.2,0,0,-1,,
Oil - Non-Revenue Generating Prod (mbd),Project Redcliff |Main Plan,-3,-0.6,,-1,-1,-1,
Oil - Non-Revenue Generating Prod (mbd),Project Silver Peak |Main Plan,-4,-0.8,-1,,-3,0,
Oil Production (mb/d),Project Blue Horizon |Main Plan,369,73.8,91,73,57,70,78
Oil Production (mb/d),Project Cedar Point |Manual,190,38,30,40,40,40,40
Oil Production (mb/d),Project Copper Bay |Main Plan,169,33.8,50,40,28,26,25
Oil Production (mb/d),Project Eagle Pass |Manual,190,38,30,40,40,40,40
Oil Production (mb/d),Project Granite Basin |Main Plan,34,6.8,8,8,6,6,6
Oil Production (mb/d),Project Highland Crest |Main Plan,0,0,0,0,0,,
Oil Production (mb/d),Project Ironwood |Main Plan,8,1.6,2,2,1,1,2
Oil Production (mb/d),Project Northstar |Main Plan,177,35.4,36,37,37,29,38
Oil Production (mb/d),Project Raven Rock |Main Plan,19,3.8,3,6,3,5,2
Oil Production (mb/d),Project Redcliff |Main Plan,65,13,14,15,14,13,9
Oil Production (mb/d),Project Silver Peak |Main Plan,352,70.4,94,77,58,64,59
Oil Production (mb/d),Project Stonehaven |Main Plan,62,12.4,16,18,13,9,6
Operating Cashflow,Project Blue Horizon |Main Plan,4621,924.2,941,913,581,1041,1145
Operating Cashflow,Project Cedar Point |Manual,4620,924,1190,900,880,840,810
Operating Cashflow,Project Copper Bay |Main Plan,2293,458.6,560,642,605,238,248
Operating Cashflow,Project Eagle Pass |Manual,4620,924,1190,900,880,840,810
Operating Cashflow,Project Granite Basin |Main Plan,852,170.4,178,198,185,173,118
Operating Cashflow,Project Highland Crest |Main Plan,480,96,599,-3,-79,-27,-10
Operating Cashflow,Project Ironwood |Main Plan,1791,358.2,326,459,411,259,336
Operating Cashflow,Project Northstar |Main Plan,1947,389.4,143,411,618,301,474
Operating Cashflow,Project Raven Rock |Main Plan,2159,431.8,151,544,224,663,577
Operating Cashflow,Project Redcliff |Main Plan,4547,909.4,807,893,1315,890,642
Operating Cashflow,Project Silver Peak |Main Plan,5569,1113.8,1160,1253,859,1124,1173
Operating Cashflow,Project Stonehaven |Main Plan,925,185,151,329,253,137,55
Pre Tax Cash Flow,Project Blue Horizon |Main Plan,1683,336.6,352,330,139,435,427
Pre Tax Cash Flow,Project Cedar Point |Manual,2170,434,600,370,380,420,400
Pre Tax Cash Flow,Project Copper Bay |Main Plan,2242,448.4,518,640,624,229,231
Pre Tax Cash Flow,Project Eagle Pass |Manual,2170,434,600,370,380,420,400
Pre Tax Cash Flow,Project Granite Basin |Main Plan,618,123.6,123,147,135,130,83
Pre Tax Cash Flow,Project Highland Crest |Main Plan,416,83.2,553,-15,-85,-27,-10
Pre Tax Cash Flow,Project Ironwood |Main Plan,1144,228.8,172,413,226,56,277
Pre Tax Cash Flow,Project Northstar |Main Plan,1381,276.2,-15,328,525,141,402
Pre Tax Cash Flow,Project Raven Rock |Main Plan,1340,268,-17,220,63,520,554
Pre Tax Cash Flow,Project Redcliff |Main Plan,3988,797.6,678,819,1213,758,520
Pre Tax Cash Flow,Project Silver Peak |Main Plan,813,162.6,648,-582,-881,783,845
Pre Tax Cash Flow,Project Stonehaven |Main Plan,793,158.6,135,237,230,136,55
Production Costs,Project Blue Horizon |Main Plan,-1681,-336.2,-308,-348,-325,-341,-359
Production Costs,Project Cedar Point |Manual,-920,-184,-180,-190,-190,-180,-180
Production Costs,Project Copper Bay |Main Plan,-868,-173.6,-207,-164,-152,-177,-168
Production Costs,Project Eagle Pass |Manual,-920,-184,-180,-190,-190,-180,-180
Production Costs,Project Granite Basin |Main Plan,-502,-100.4,-147,-174,-59,-59,-63
Production Costs,Project Highland Crest |Main Plan,-238,-47.6,-79,-70,-59,-24,-6
Production Costs,Project Ironwood |Main Plan,-236,-47.2,-53,-40,-44,-46,-53
Production Costs,Project Northstar |Main Plan,-1379,-275.8,-372,-265,-241,-245,-256
Production Costs,Project Raven Rock |Main Plan,-171,-34.2,-73,-42,-22,-20,-14
Production Costs,Project Redcliff |Main Plan,-629,-125.8,-204,-194,-77,-77,-77
Production Costs,Project Silver Peak |Main Plan,-1143,-228.6,-355,-300,-174,-159,-155
Production Costs,Project Stonehaven |Main Plan,-532,-106.4,-149,-149,-76,-74,-84
Related Company Income,Project Cedar Point |Manual,0,0,0,0,0,0,0
Related Company Income,Project Eagle Pass |Manual,0,0,0,0,0,0,0
Related Company Income,Project Ironwood |Main Plan,69,13.8,10,17,17,13,12
Revenue Generating Total Prod (mboe),Project Blue Horizon |Main Plan,134.685,26.937,33.215,26.645,20.805,25.55,28.47
Revenue Generating Total Prod (mboe),Project Copper Bay |Main Plan,61.685,12.337,18.615,14.965,9.49,9.49,9.125
Revenue Generating Total Prod (mboe),Project Granite Basin |Main Plan,59.13,11.826,13.505,12.775,11.315,11.315,10.22
Revenue Generating Total Prod (mboe),Project Highland Crest |Main Plan,10.95,2.19,5.475,4.015,1.46,0,
Revenue Generating Total Prod (mboe),Project Ironwood |Main Plan,79.57,15.914,18.98,20.805,16.06,10.585,13.14
Revenue Generating Total Prod (mboe),Project Northstar |Main Plan,64.97,12.994,13.14,13.505,13.87,10.585,13.87
Revenue Generating Total Prod (mboe),Project Raven Rock |Main Plan,234.33,46.866,50.005,58.765,46.355,46.72,32.485
Revenue Generating Total Prod (mboe),Project Redcliff |Main Plan,143.08,28.616,30.66,29.565,31.025,28.835,22.995
Revenue Generating Total Prod (mboe),Project Silver Peak |Main Plan,127.75,25.55,34.31,28.105,20.44,23.36,21.535
Revenue Generating Total Prod (mboe),Project Stonehaven |Main Plan,31.755,6.351,8.395,9.125,6.205,4.745,3.285
Revenue Generating Total Prod (mboed),Project Blue Horizon |Main Plan,369,73.8,91,73,57,70,78
Revenue Generating Total Prod (mboed),Project Cedar Point |Manual,200,40,40,40,40,40,40
Revenue Generating Total Prod (mboed),Project Copper Bay |Main Plan,169,33.8,51,41,26,26,25
Revenue Generating Total Prod (mboed),Project Eagle Pass |Manual,200,40,40,40,40,40,40
Revenue Generating Total Prod (mboed),Project Granite Basin |Main Plan,162,32.4,37,35,31,31,28
Revenue Generating Total Prod (mboed),Project Highland Crest |Main Plan,30,6,15,11,4,0,
Revenue Generating Total Prod (mboed),Project Ironwood |Main Plan,218,43.6,52,57,44,29,36
Revenue Generating Total Prod (mboed),Project Northstar |Main Plan,178,35.6,36,37,38,29,38
Revenue Generating Total Prod (mboed),Project Raven Rock |Main Plan,642,128.4,137,161,127,128,89
Revenue Generating Total Prod (mboed),Project Redcliff |Main Plan,392,78.4,84,81,85,79,63
Revenue Generating Total Prod (mboed),Project Silver Peak |Main Plan,350,70,94,77,56,64,59
Revenue Generating Total Prod (mboed),Project Stonehaven |Main Plan,87,17.4,23,25,17,13,9
Total Cash Costs,Project Blue Horizon |Main Plan,-1681,-336.2,-308,-348,-325,-341,-359
Total Cash Costs,Project Cedar Point |Manual,-1290,-258,-270,-270,-250,-250,-250
Total Cash Costs,Project Copper Bay |Main Plan,-914,-182.8,-207,-164,-193,-180,-170
Total Cash Costs,Project Eagle Pass |Manual,-1290,-258,-270,-270,-250,-250,-250
Total Cash Costs,Project Granite Basin |Main Plan,-893,-178.6,-147,-174,-195,-183,-194
Total Cash Costs,Project Highland Crest |Main Plan,-245,-49,-79,-70,-62,-27,-7
Total Cash Costs,Project Ironwood |Main Plan,-237,-47.4,-53,-40,-45,-46,-53
Total Cash Costs,Project Northstar |Main Plan,-1394,-278.8,-372,-265,-250,-251,-256
Total Cash Costs,Project Raven Rock |Main Plan,-173,-34.6,-73,-42,-24,-20,-14
Total Cash Costs,Project Redcliff |Main Plan,-1004,-200.8,-204,-194,-208,-204,-194
Total Cash Costs,Project Silver Peak |Main Plan,-1460,-292,-355,-300,-273,-271,-261
Total Cash Costs,Project Stonehaven |Main Plan,-788,-157.6,-149,-149,-183,-148,-159
Total Dividend Received,Project Cedar Point |Manual,0,0,0,0,0,0,0
Total Dividend Received,Project Copper Bay |Main Plan,0,0,,,0,,
Total Dividend Received,Project Eagle Pass |Manual,0,0,0,0,0,0,0
Total Dividend Received,Project Ironwood |Main Plan,76,15.2,14,13,23,13,13
Total Dividend Received,Project Stonehaven |Main Plan,-1,-0.2,,,-1,,
Total Production (mboed),Project Blue Horizon |Main Plan,369,73.8,91,73,57,70,78
Total Production (mboed),Project Cedar Point |Manual,190,38,30,40,40,40,40
Total Production (mboed),Project Copper Bay |Main Plan,169,33.8,50,40,28,26,25
Total Production (mboed),Project Eagle Pass |Manual,190,38,30,40,40,40,40
Total Production (mboed),Project Granite Basin |Main Plan,162,32.4,37,35,31,31,28
Total Production (mboed),Project Highland Crest |Main Plan,30,6,15,11,4,0,
Total Production (mboed),Project Ironwood |Main Plan,227,45.4,52,57,46,32,40
Total Production (mboed),Project Northstar |Main Plan,178,35.6,36,37,38,29,38
Total Production (mboed),Project Raven Rock |Main Plan,642,128.4,137,161,127,128,89
Total Production (mboed),Project Redcliff |Main Plan,432,86.4,94,91,93,85,69
Total Production (mboed),Project Silver Peak |Main Plan,352,70.4,94,77,58,64,59
Total Production (mboed),Project Stonehaven |Main Plan,87,17.4,23,25,17,13,9
Underlying RCOP,Project Blue Horizon |Main Plan,1447,289.4,189,362,275,288,333
Underlying RCOP,Project Cedar Point |Manual,1530,306,390,230,300,300,310
Underlying RCOP,Project Copper Bay |Main Plan,649,129.8,134,194,185,45,91
Underlying RCOP,Project Eagle Pass |Manual,1530,306,390,230,300,300,310
Underlying RCOP,Project Granite Basin |Main Plan,313,62.6,124,147,94,-26,-26
Underlying RCOP,Project Highland Crest |Main Plan,-290,-58,310,-324,-138,-84,-54
Underlying RCOP,Project Ironwood |Main Plan,441,88.2,-10,104,144,84,119
Underlying RCOP,Project Northstar |Main Plan,695,139,-97,173,327,85,207
Underlying RCOP,Project Raven Rock |Main Plan,1612,322.4,8,458,302,477,367
Underlying RCOP,Project Redcliff |Main Plan,2735,547,486,472,780,565,432
Underlying RCOP,Project Silver Peak |Main Plan,1713,342.6,120,399,466,364,364
Underlying RCOP,Project Stonehaven |Main Plan,-66,-13.2,19,-9,12,-35,-53
Working Capital Changes (SEA),Project Blue Horizon |Main Plan,-242,-48.4,,,-348,71,35
Working Capital Changes (SEA),Project Cedar Point |Manual,-260,-52,130,-30,-120,-120,-120
Working Capital Changes (SEA),Project Copper Bay |Main Plan,-128,-25.6,-13,2,100,-105,-112
Working Capital Changes (SEA),Project Eagle Pass |Manual,-260,-52,130,-30,-120,-120,-120
Working Capital Changes (SEA),Project Granite Basin |Main Plan,-13,-2.6,,,-11,12,-14
Working Capital Changes (SEA),Project Highland Crest |Main Plan,12,2.4,,,16,-2,-2
Working Capital Changes (SEA),Project Raven Rock |Main Plan,-183,-36.6,,-1,-217,-23,58
Working Capital Changes (SEA),Project Redcliff |Main Plan,109,21.8,-3,-1,170,-1,-56
Working Capital Changes (SEA),Project Silver Peak |Main Plan,-243,-48.6,,,-318,-19,94
Working Capital Changes (SEA),Project Stonehaven |Main Plan,-58,-11.6,-51,-1,-4,-4,2
